answer,pySATEN2,rVAD,inaSpeechSegmenter,Silero_vad,SpeechBrain,WebRTC,WhisperX
2.2,2.18,,,2.4,,0.0,
4.3234391,4.33,,,5.1,,5.99,
1.566259,1.525,,,1.6,0.0,0.0,1.499
3.951837,3.5949999999999998,,,4.0,5.239999771118164,5.34,4.165
2.250014,2.245,,,2.3,,0.0,2.107
4.53606,3.3649999999999998,,,4.2,,5.34,5.363
1.015,1.05,,,1.3,,0.0,
2.2126505,2.1999999999999997,,,2.7,,3.19,
1.963846,1.955,,,2.2,1.8700000047683716,0.0,1.972
3.448247,3.3699999999999997,,,3.8,4.949999809265137,4.97,3.811
2.024333,2.075,,,2.1,,0.0,1.955
3.470833,2.48,,,3.3,,4.5,3.659
1.85,1.855,,,2.7,,0.0,0.031
4.3964355,4.08,,,3.9,,5.96,5.971
1.956339,1.915,,,2.1,,0.0,1.803
5.3259,5.08,,,5.7,,7.11,5.937
1.937731,1.96,,,2.1,,0.0,1.904
4.938391,4.380000000000001,,,4.9,,5.74,5.768
1.96,1.965,,,2.4,,0.0,2.528
8.4,8.2,,,8.7,,9.85,9.16
2.708844,2.74,,,3.3,2.559999942779541,0.0,2.731
10.995011,10.754999999999999,,,10.9,12.889999389648438,12.91,11.067
2.070676,2.1,,,2.3,,0.0,2.005
10.202353,9.43,,,10.1,,11.01,11.033
1.625,1.625,,,2.2,,0.0,1.381
4.6046,3.935,,,4.7,,6.22,4.975
1.660756,0.375,,,1.7,1.2599999904632568,0.0,1.364
5.39677,4.505000000000001,,,5.5,6.889999866485596,6.91,5.752
1.789917,1.93,,,1.8,,0.0,1.55
5.348433,4.275,,,6.1,,6.1000000000000005,6.123
1.1900001,1.355,,,1.8,,0.0,0.031
3.1793667,2.695,,,3.4,,4.69,4.722
1.736054,1.525,,,1.8,,0.0,
4.315638,3.895,,,4.2,,5.6000000000000005,
1.837248,2.6450000000000005,,,2.7,,0.0,2.562
4.239792,3.5149999999999997,,,4.0,,5.1000000000000005,5.127
1.4349999,1.49,,,1.5,1.0799999237060547,0.0,1.33
4.4019865,4.3950000000000005,,,4.9,5.769999980926514,5.79,5.819
2.399546,1.2,,,2.5,2.259999990463257,0.0,0.031
6.288655,4.720000000000001,,,6.6,7.789999961853027,7.8100000000000005,7.827
1.709398,1.785,,,2.0,,0.0,1.617
5.289438,3.8249999999999997,,,5.4,,5.97,5.802
1.5864915,1.62,,,2.1,1.209999918937683,0.0,1.448
4.6273593,3.52,,,5.4,5.869999885559082,5.89,5.92
2.411298,2.4200000000000004,,,2.6,2.3399999141693115,0.0,2.36
6.180016,5.66,,,6.3,7.529999732971191,7.640000000000001,7.658
2.445606,2.325,,,2.5,2.3399999141693115,0.0,2.393
6.153171,4.765000000000001,,,6.2,5.539999961853027,7.11,6.832
1.08,1.1,,,1.4,0.5299999713897705,0.0,1.195
3.4918911,3.4499999999999997,,,3.9,4.839999675750732,4.86,3.862
1.533809,1.92,,,1.9,,0.0,1.398
4.60495,4.015,,,4.9,,6.2,4.975
2.581441,2.62,,,2.8,,0.0,3.372
5.586945,4.9750000000000005,,,6.4750625,,6.47,6.157
1.475,1.415,,,1.7,1.1899999380111694,0.0,1.448
5.2343672,5.33,,,5.6,6.730000019073486,6.79,5.87
2.029966,1.895,,,2.1,0.0,0.0,1.921
7.543036,7.08,,,7.6,7.269999980926514,9.34,7.81
2.143032,2.0700000000000003,,,2.3,,0.0,2.09
6.477051,5.6000000000000005,,,5.9,,7.37,6.46
1.1,1.135,,,1.5,,0.0,
2.9456673,2.8249999999999997,,,3.1,,4.19,
1.850508,1.795,,,1.9,0.0,0.0,1.668
4.288839,4.115,,,4.4,5.71999979019165,5.74,4.739
1.885802,1.875,,,2.3,,0.0,0.031
3.990556,3.48,,,3.8,,4.87,4.891
2.415,2.4200000000000004,,,2.9,,0.0,5.971
5.4189398,5.6450000000000005,,,5.3,,6.76,6.781
1.958346,1.97,,,2.1,1.5799999237060547,0.0,1.837
6.027465,5.835,,,6.2,7.21999979019165,7.24,6.983
2.070295,2.095,,,2.3,,0.0,2.123
5.824207,5.575,,,5.5,,6.84,6.477
1.73,1.675,,,4.1,0.0,0.0,1.567
6.3870437,6.420000000000001,,,6.7,8.199999809265137,8.26,7.102
1.804241,1.855,,,1.9,1.5799999237060547,0.0,1.82
8.376729,8.5,,,8.4,4.130000114440918,10.58,8.755
2.446561,2.3850000000000002,,,2.6,2.440000057220459,0.0,2.528
8.40975,7.035,,,8.4,8.619999885559082,9.21,8.283
1.765,1.83,,,3.0,1.3299999237060547,0.0,0.031
4.5360445,4.285,,,4.8,5.730000019073486,5.79,5.279
2.182236,2.2800000000000002,,,2.3,,0.0,2.056
5.785826,5.760000000000001,,,5.8,,7.24,7.27
2.275932,2.4050000000000002,,,2.4,,0.0,2.242
5.720184,4.865,,,5.6,,6.37,5.701
2.075,2.08,,,2.2,,0.0,
