answer,pySATEN2,rVAD,inaSpeechSegmenter,Silero_vad,SpeechBrain,WebRTC,WhisperX
2.2,2.1700000000000004,2.08,,2.2,2.0199999809265137,1.1500000000000001,2.157
4.3234391,4.33,4.38,,4.5,4.690000057220459,4.41,4.435
1.566259,1.53,1.41,,1.5,1.159999966621399,0.01,1.55
3.951837,3.8699999999999997,3.63,,4.1,5.230000019073486,5.1000000000000005,4.098
2.250014,2.2300000000000004,2.08,,2.2,2.059999942779541,2.27,2.208
4.53606,4.445,3.73,,4.7,4.859999656677246,5.22,5.363
1.015,1.045,0.93,,1.1,0.3199999928474426,0.93,1.027
2.2126505,2.2249999999999996,2.27,,2.4,2.9600000381469727,2.72,2.613
1.963846,1.955,1.8800000000000001,,2.0,1.8600000143051147,0.14,1.972
3.448247,3.425,3.3000000000000003,,3.7,4.019999980926514,4.15,3.642
2.024333,2.02,1.93,,2.1,1.9900000095367432,2.11,2.056
3.470833,3.485,3.46,,3.6,4.049999713897705,3.49,3.642
1.85,1.845,1.8,,1.9,1.5799999237060547,1.87,1.853
4.3964355,4.415,3.87,,4.6,4.819999694824219,5.48,4.553
1.956339,1.93,1.85,,1.9,1.709999918937683,0.01,1.921
5.3259,5.090000000000001,5.2,,5.4,7.009999752044678,5.34,5.633
1.937731,1.915,1.85,,1.9,1.8600000143051147,0.6,1.87
4.938391,4.4350000000000005,4.8,,5.1,5.509999752044678,5.74,5.768
1.96,1.96,1.9000000000000001,1.8,2.0,1.659999966621399,0.0,1.955
8.4,8.19,8.290000000000001,8.3,8.4,8.149999618530273,8.42,8.468
2.708844,2.7600000000000002,2.72,2.62,2.8,2.549999952316284,0.92,2.798
10.995011,10.68,10.74,10.84,11.1,12.679999351501465,12.620000000000001,11.27
2.070676,2.1100000000000003,2.02,1.96,2.1,1.6899999380111694,0.0,2.107
10.202353,9.895,9.99,9.94,10.1,6.829999923706055,10.97,11.033
1.625,1.62,1.51,1.3800000000000001,1.6,1.3799999952316284,0.3,1.617
4.6046,4.4350000000000005,3.99,4.64,4.7,5.150000095367432,5.78,4.773
1.660756,1.66,1.6300000000000001,1.42,1.7,1.3899999856948853,0.01,1.617
5.39677,5.11,4.59,4.04,5.4,6.819999694824219,6.91,5.549
1.789917,1.785,1.79,,1.8,1.709999918937683,0.0,1.752
5.348433,4.470000000000001,4.5,,5.3,4.980000019073486,6.1000000000000005,6.123
1.1900001,1.25,1.31,,1.2,0.3499999940395355,0.0,1.145
3.1793667,2.8,2.84,,3.4,3.93999981880188,4.18,3.457
1.736054,1.72,1.62,,1.7,1.6200000047683716,0.02,1.718
4.315638,3.7199999999999998,3.69,,4.0,5.460000038146973,5.57,4.807
1.837248,2.035,1.75,,1.9,1.809999942779541,0.32,1.735
4.239792,3.6149999999999998,3.71,,3.9,4.619999885559082,4.6000000000000005,5.127
1.4349999,1.48,1.42,1.44,1.5,1.209999918937683,1.52,1.482
4.4019865,4.4,4.47,4.5,4.6,4.759999752044678,5.79,4.486
2.399546,2.47,2.42,,2.5,2.169999837875366,0.0,2.478
6.288655,6.1450000000000005,6.15,,6.5,7.730000019073486,7.42,6.376
