answer,pySATEN2,rVAD,inaSpeechSegmenter,Silero_vad,SpeechBrain,WebRTC,WhisperX
2.2,2.18,,,2.2,2.0799999237060547,2.22,0.031
4.3234391,4.315,,,4.5,4.409999847412109,4.42,4.469
1.566259,1.535,,,1.5,1.4299999475479126,0.01,1.533
3.951837,3.755,,,4.0,5.259999752044678,4.99,4.081
2.250014,2.2350000000000003,,,2.2,2.0299999713897705,2.2600000000000002,2.225
4.53606,3.96,,,4.7,5.190000057220459,4.6000000000000005,5.127
1.015,1.06,,,1.1,0.38999998569488525,1.08,1.06
2.2126505,2.215,,,2.4,3.129999876022339,2.22,2.275
1.963846,2.015,,,2.0,1.8399999141693115,2.04,1.972
3.448247,3.4,,,3.6,4.0,3.54,4.503
2.024333,2.0700000000000003,,,2.1,2.0399999618530273,2.11,2.09
3.470833,3.465,,,3.6,4.019999980926514,3.5100000000000002,3.524
1.85,1.87,,,1.8,1.75,0.61,1.803
4.3964355,4.04,,,4.6,4.610000133514404,4.43,4.705
1.956339,1.94,,,1.9,1.909999966621399,0.09,1.921
5.3259,4.835,,,5.5,4.829999923706055,5.3500000000000005,5.532
1.937731,1.95,,,1.9,2.2799999713897705,0.12,1.904
4.938391,4.44,,,5.0,4.809999942779541,5.72,5.768
1.96,1.9749999999999999,,,2.0,1.8199999332427979,2.02,1.955
8.4,8.18,,,8.3,8.15999984741211,8.42,8.553
2.708844,2.7950000000000004,,,2.8,2.5999999046325684,2.83,2.798
10.995011,10.665,,,11.1,12.779999732971191,11.05,11.32
2.070676,2.1300000000000003,,,2.1,1.9199999570846558,2.17,2.09
10.202353,9.33,,,10.3,10.989999771118164,10.18,10.493
1.625,1.6300000000000001,,,1.6,1.5999999046325684,1.6400000000000001,1.6
4.6046,4.42,,,4.7,4.429999828338623,4.62,4.739
1.660756,1.675,,,1.6,1.6299999952316284,0.19,1.617
5.39677,5.095000000000001,,,5.4,4.009999752044678,5.41,5.532
1.789917,1.965,,,1.8,1.7599999904632568,1.81,1.752
5.348433,4.405,,,5.3,4.400000095367432,5.3100000000000005,6.106
1.1900001,1.36,,,1.2,0.9099999666213989,1.26,1.195
3.1793667,2.7649999999999997,,,3.3,4.150000095367432,3.23,3.254
1.736054,1.76,,,1.8,1.709999918937683,0.12,1.685
4.315638,3.5749999999999997,,,4.5,3.6599998474121094,5.11,4.503
1.837248,2.0900000000000003,,,1.9,1.8799999952316284,1.9000000000000001,
4.239792,3.61,,,3.9,4.949999809265137,4.2700000000000005,
1.4349999,1.49,,,1.5,0.0,1.52,1.465
4.4019865,4.3950000000000005,,,4.7,4.420000076293945,4.5,4.537
2.399546,2.49,,,2.5,2.3399999141693115,0.02,2.461
6.288655,5.61,,,6.5,5.699999809265137,7.45,6.562
1.709398,1.84,,,1.7,1.559999942779541,1.76,1.685
