answer,pySATEN2,rVAD,inaSpeechSegmenter,Silero_vad,WhisperX
2.2,2.1700000000000004,,,2.2,2.174
4.3234391,4.335,,,4.5,4.469
1.566259,1.535,,,1.5,1.533
3.951837,3.85,,,4.0,4.047
2.250014,2.225,,,2.2,2.225
4.53606,4.430000000000001,,,4.7,4.705
1.015,1.05,,,1.1,1.043
2.2126505,2.2249999999999996,,,2.4,2.528
1.963846,1.96,,,2.0,1.988
3.448247,3.425,,,3.6,3.558
2.024333,2.0300000000000002,,,2.1,2.056
3.470833,3.485,,,3.6,3.507
1.85,1.845,,,1.8,1.837
4.3964355,4.41,,,4.5,4.638
1.956339,1.935,,,1.9,0.031
5.3259,5.075,,,5.5,5.667
1.937731,1.92,,,1.9,1.921
4.938391,4.48,,,5.0,5.026
1.96,1.965,,,2.0,1.972
8.4,8.184999999999999,,,8.4,9.886
2.708844,2.7600000000000002,,2.62,2.8,2.798
10.995011,10.735,,7.28,11.1,11.152
2.070676,2.1050000000000004,,1.96,2.1,2.123
10.202353,9.895,,6.62,10.3,10.477
1.625,1.62,,1.48,1.6,1.617
4.6046,4.445,,4.64,4.7,6.258
1.660756,1.66,,1.5,1.6,1.634
5.39677,5.105,,3.7600000000000002,5.5,5.482
1.789917,1.805,,,1.8,1.752
5.348433,4.44,,,5.4,6.072
1.1900001,1.245,,,1.2,1.195
3.1793667,3.17,,,3.3,4.722
1.736054,1.73,,,1.7,1.735
4.315638,3.8,,,4.4,4.486
1.837248,2.0300000000000002,,,1.9,1.837
4.239792,3.63,,,4.3,4.402
1.4349999,1.48,,1.42,1.5,1.482
4.4019865,4.405,,4.26,4.6,4.503
2.399546,2.475,,,2.5,2.461
6.288655,5.970000000000001,,,6.6,6.443
1.709398,1.745,,,1.7,1.718
5.289438,4.760000000000001,,,5.5,5.971
1.5864915,1.595,,,1.6,1.6
4.6273593,4.6450000000000005,,,4.8,4.857
2.411298,2.4200000000000004,,,2.5,2.444
6.180016,5.92,,,6.4,6.41
2.445606,2.4200000000000004,,,2.5,2.427
6.153171,5.815,,,6.3,7.135
1.08,1.1,,,1.1,1.111
3.4918911,3.4899999999999998,,,3.7,3.71
1.533809,1.55,,,1.6,1.567
4.60495,4.625,,,4.8,4.739
2.581441,2.6100000000000003,,,2.6,2.596
5.586945,5.335,,,5.7,6.477
1.475,1.525,,1.78,1.5,1.533
5.2343672,5.265000000000001,,5.34,5.4,5.6
2.029966,2.02,,,2.0,2.022
7.543036,7.54,,,7.7,7.692
2.143032,2.12,,,2.2,2.191
6.477051,5.840000000000001,,,6.6,6.916
1.1,1.115,,,1.1,1.06
2.9456673,2.875,,,3.1,3.052
1.850508,1.84,,,1.8,1.82
4.288839,4.140000000000001,,,4.5,4.418
1.885802,1.87,,,1.9,1.837
3.990556,3.5149999999999997,,,4.0,4.047
2.415,2.47,,2.92,2.5,2.444
5.4189398,5.455,,4.82,5.6,5.515
1.958346,2.0000000000000004,,1.78,2.0,1.988
6.027465,5.805000000000001,,4.58,6.2,6.258
2.070295,2.1,,,2.1,2.073
5.824207,5.585,,,5.7,5.752
1.73,1.745,,,2.1,1.803
6.3870437,6.220000000000001,,,6.6,6.612
1.804241,1.835,,,1.9,1.87
8.376729,8.11,,,8.5,8.637
2.446561,2.475,,,2.6,2.545
8.40975,7.755000000000001,,,8.5,8.57
1.765,1.765,,,1.7,1.752
4.5360445,4.515000000000001,,,4.6,5.819
2.182236,2.165,,,2.2,2.123
5.785826,5.7700000000000005,,,5.8,5.87
2.275932,2.435,,,2.3,2.292
5.720184,4.885000000000001,,,5.8,6.022
2.075,2.0900000000000003,,,2.1,0.031
5.1702525,5.19,,,5.3,5.549
2.039967,2.0650000000000004,,,2.1,2.039
6.053487,6.0200000000000005,,,6.1,6.308
2.252001,2.2600000000000002,,,2.3,2.225
6.091743,5.385000000000001,,,6.1,6.73
1.8379543,1.91,,,1.9,1.837
5.1383339,5.155,,,5.3,6.983
2.048741,2.095,,,2.1,2.09
6.366566,6.135000000000001,,,6.5,6.595
2.445317,2.495,,,2.5,2.444
6.730474,6.0200000000000005,,,6.7,6.983
1.325,1.3,,,1.3,0.031
3.7031087,3.645,,,3.8,3.76
2.128447,2.075,,,2.2,2.107
5.213152,4.795,,,5.1,5.161
1.736259,1.73,,,1.7,1.718
4.711549,4.355,,,4.6,4.705
1.39,1.57,,,1.4,1.381
2.9004262,2.83,,,2.9,2.967
1.928258,1.905,,,1.9,1.887
4.013098,3.7399999999999998,,,4.0,3.963
2.202095,2.18,,,2.2,2.14
4.123066,3.7399999999999998,,,4.1,4.182
1.3049999,1.315,,,1.3,1.28
5.1813546,5.2,,,5.3,5.38
1.997205,1.9800000000000002,,,2.0,1.972
7.600439,6.91,,,7.7,7.76
2.178198,2.2500000000000004,,,2.1,2.107
7.162346,6.920000000000001,,,7.3,7.979
0.9,0.885,,,0.9,0.892
2.7769152,2.76,,,2.9,3.001
2.18522,2.14,,,2.2,2.157
4.78481,4.525,,,4.9,4.874
1.950567,2.245,,,1.9,1.938
4.367341,4.015,,,4.5,4.52
1.365,1.42,,,1.4,1.398
3.4682991,3.405,,,3.5,3.558
2.367393,2.345,,,2.4,2.377
5.000861,4.96,,,5.0,5.009
2.311792,2.3200000000000003,,,2.4,2.343
4.749206,4.3950000000000005,,,4.7,4.807
1.47,1.49,,,1.5,1.482
4.8349688,4.840000000000001,,,5.0,4.908
2.445905,2.4050000000000002,,2.22,2.4,2.427
6.895392,6.340000000000001,,6.0200000000000005,7.0,7.338
2.030385,2.0100000000000002,,3.64,2.0,2.005
6.276291,5.75,,4.88,6.3,6.595
1.465,1.52,,1.48,1.5,1.499
5.8796773,5.855,,5.62,5.9,5.802
2.234921,2.2600000000000002,,2.14,2.3,2.258
8.40465,8.125,,7.54,8.3,8.384
1.979271,2.0450000000000004,,4.34,2.0,2.039
7.0839,6.285,,7.6000000000000005,7.0,7.017
1.8099999,1.79,,,1.8,0.031
5.0803254,5.07,,,5.1,5.043
2.291627,2.2700000000000005,,,2.3,2.275
7.138776,6.545000000000001,,,7.2,7.068
2.260898,2.615,,,2.6,2.242
6.501636,5.965000000000001,,,6.5,6.68
1.6381163,1.67,,2.72,1.7,1.651
5.3040329,5.16,,5.22,5.4,5.414
2.219771,2.3550000000000004,,2.18,2.4,2.36
7.11848,6.9,,6.9,7.4,7.422
2.195011,2.5050000000000003,,,2.3,2.275
6.790884,6.555000000000001,,,6.9,7.169
1.775,1.805,,,1.9,1.87
4.1527441,4.155,,,4.3,4.233
1.92494,1.9949999999999999,,,2.0,2.022
5.3356,5.1850000000000005,,,5.5,5.566
2.246113,2.5650000000000004,,,2.4,2.326
5.381181,5.33,,,5.5,5.482
1.9299999,1.92,,,1.9,1.904
4.294296,4.24,,,4.5,4.402
2.610613,2.5850000000000004,,,2.6,2.562
6.638193,6.45,,,6.8,6.73
2.418487,2.4250000000000003,,,2.4,2.377
5.56661,4.970000000000001,,,5.7,5.836
2.0550001,2.055,,,2.0,2.039
5.6129491,5.625,,,5.8,5.819
2.294785,2.2750000000000004,,,2.3,2.275
7.695427,7.285,,,7.8,7.962
2.567191,2.5500000000000003,,,2.6,2.545
7.068706,6.32,,,7.2,7.777
1.23,1.235,,,1.2,1.212
3.5002176,3.5,,,3.7,3.659
1.651247,1.635,,,1.6,1.617
4.790906,4.815,,,4.9,5.077
2.326516,2.5100000000000002,,,2.3,2.292
5.116211,4.82,,,5.3,5.971
1.72,1.73,,,2.0,1.769
3.8590933,3.8699999999999997,,,4.1,3.963
2.149562,2.14,,,2.2,2.14
5.018486,4.79,,,5.2,5.11
2.8824,2.85,,,2.9,2.9
5.539666,5.315,,,5.6,5.667
1.7627375,1.77,,,1.8,1.769
