answer,pySATEN2,rVAD,inaSpeechSegmenter,Silero_vad,SpeechBrain,WebRTC,WhisperX
2.2,2.1700000000000004,2.0100000000000002,2.1,2.2,1.9399999380111694,0.88,2.191
4.3234391,4.340000000000001,4.55,5.12,4.4,4.480000019073486,5.03,4.368
1.566259,1.535,1.35,1.52,1.5,1.4900000095367432,0.02,1.55
3.951837,3.92,4.0600000000000005,4.3,4.0,3.629999876022339,5.34,3.997
2.250014,2.225,0.8300000000000001,2.06,2.2,2.180000066757202,0.0,2.225
4.53606,4.485,4.83,4.74,4.6,4.670000076293945,4.71,4.638
1.015,1.03,0.87,1.02,1.1,1.0499999523162842,0.0,1.027
2.2126505,2.2249999999999996,2.46,2.4,2.3,3.169999837875366,2.48,2.309
1.963846,1.95,1.78,2.06,2.0,1.9499999284744263,0.5,1.955
3.448247,3.44,3.66,3.2800000000000002,3.5,3.059999942779541,4.69,3.49
2.024333,2.02,1.35,2.0,2.0,1.959999918937683,0.0,2.022
3.470833,3.4949999999999997,3.8000000000000003,3.3200000000000003,3.5,3.6399998664855957,3.61,3.49
1.85,1.84,1.69,1.82,1.8,1.5399999618530273,1.29,1.853
4.3964355,4.41,4.62,4.42,4.4,4.589999675750732,5.73,4.587
1.956339,1.93,1.76,1.94,1.9,1.809999942779541,0.51,1.938
5.3259,5.090000000000001,5.5200000000000005,5.34,5.4,5.349999904632568,7.04,5.633
1.937731,1.92,1.73,1.92,2.0,1.8799999952316284,0.0,1.921
4.938391,4.955,5.15,4.96,5.0,4.960000038146973,5.15,5.245
1.96,1.96,1.82,1.96,2.0,1.5799999237060547,0.0,1.988
8.4,8.184999999999999,8.44,8.4,8.4,9.019999504089355,9.790000000000001,8.57
2.708844,2.745,2.62,2.72,2.8,2.5799999237060547,0.5,2.782
10.995011,10.695,11.22,11.1,10.8,9.989999771118164,11.68,11.084
2.070676,2.0900000000000003,1.95,2.06,2.2,2.0,0.0,2.107
10.202353,9.9,10.19,10.22,10.3,9.989999771118164,10.98,10.257
1.625,1.62,1.46,1.54,1.6,0.7899999618530273,0.0,1.634
4.6046,4.630000000000001,4.7,4.62,4.7,4.679999828338623,6.05,4.84
1.660756,1.66,1.49,1.6400000000000001,1.6,1.6799999475479126,0.52,1.651
5.39677,5.115,5.54,5.44,5.5,5.109999656677246,6.88,5.667
1.789917,1.765,1.6300000000000001,1.78,1.8,1.7899999618530273,0.0,1.786
5.348433,5.0600000000000005,5.5,5.36,5.4,5.179999828338623,5.75,5.465
1.1900001,1.23,1.11,1.16,1.2,0.4599999785423279,0.0,1.212
3.1793667,3.19,3.0700000000000003,3.22,3.3,3.43999981880188,3.99,3.153
1.736054,1.715,1.56,1.72,1.7,1.709999918937683,0.25,1.735
4.315638,4.3500000000000005,4.53,4.1,4.0,4.019999980926514,5.46,4.418
1.837248,1.83,1.68,1.7,1.9,1.8199999332427979,0.0,1.837
4.239792,3.7849999999999997,4.5200000000000005,4.66,3.9,3.8499999046325684,4.5600000000000005,4.368
1.4349999,1.475,1.34,1.42,1.5,0.6200000047683716,0.19,1.482
4.4019865,4.41,4.62,4.42,4.5,4.730000019073486,4.83,4.52
2.399546,2.41,2.3000000000000003,2.4,2.5,2.2100000381469727,0.0,2.461
6.288655,6.175000000000001,6.51,6.34,6.4,6.37999963760376,7.24,6.612
1.709398,1.735,1.58,1.7,1.7,1.6699999570846558,0.0,1.735
5.289438,4.775,5.44,5.32,5.4,5.309999942779541,5.97,5.802
1.5864915,1.58,1.51,1.58,1.6,1.5099999904632568,0.0,1.6
4.6273593,4.6450000000000005,4.87,4.66,4.7,4.829999923706055,5.19,4.908
2.411298,2.415,2.2600000000000002,2.44,2.5,2.429999828338623,0.5,2.444
6.180016,5.95,6.37,6.22,6.3,6.019999980926514,7.42,6.427
2.445606,2.415,2.2800000000000002,1.98,2.5,2.419999837875366,0.0,2.427
6.153171,5.905,6.3500000000000005,6.28,6.2,6.509999752044678,6.8,6.393
1.08,1.09,0.9500000000000001,1.08,1.1,0.3999999761581421,0.9500000000000001,1.128
3.4918911,3.5,3.67,3.52,3.5,3.679999828338623,4.63,3.693
1.533809,1.54,1.3900000000000001,1.5,1.6,1.409999966621399,0.5,1.567
4.60495,4.630000000000001,4.84,4.66,4.7,4.690000057220459,5.38,4.874
2.581441,2.5850000000000004,2.43,2.04,2.6,2.609999895095825,0.0,2.596
5.586945,5.58,5.7700000000000005,6.46,5.7,5.739999771118164,6.47,6.393
1.475,1.52,1.3900000000000001,1.52,1.6,0.8499999642372131,0.63,1.55
5.2343672,5.2700000000000005,5.46,5.26,5.3,5.440000057220459,6.62,5.566
2.029966,2.0050000000000003,1.84,1.62,2.0,1.909999966621399,0.5,2.022
7.543036,7.565,7.76,7.66,7.6,7.5,9.24,7.591
2.143032,2.1250000000000004,1.99,1.9000000000000001,2.2,2.180000066757202,0.0,2.157
6.477051,5.545,6.69,6.62,6.6,6.549999713897705,7.3100000000000005,6.815
1.1,1.1,0.9500000000000001,1.06,1.1,0.08999999612569809,0.63,1.077
2.9456673,2.915,3.0700000000000003,3.0,3.0,3.049999952316284,4.03,3.052
1.850508,1.83,1.6600000000000001,1.82,1.8,1.8399999141693115,0.5,1.853
4.288839,4.32,4.47,4.36,4.4,4.299999713897705,4.8,4.587
1.885802,1.855,1.67,0.7000000000000001,1.9,1.8899999856948853,0.0,1.853
3.990556,3.96,4.1,4.04,4.1,3.68999981880188,4.61,4.385
2.415,2.4650000000000003,2.37,2.42,2.5,1.2899999618530273,0.0,2.461
5.4189398,5.445,5.55,5.44,5.5,5.690000057220459,6.34,5.583
1.958346,1.9949999999999999,1.83,1.96,2.0,1.9299999475479126,0.0,1.988
6.027465,6.04,6.18,6.08,6.1,5.730000019073486,7.24,6.325
2.070295,2.095,1.94,2.04,2.1,2.0399999618530273,0.0,2.107
5.824207,5.6000000000000005,5.97,5.86,5.9,5.579999923706055,6.49,5.954
1.73,1.74,1.62,1.72,1.8,0.3999999761581421,0.0,1.769
6.3870437,6.4,6.65,6.42,6.5,6.710000038146973,6.71,6.646
1.804241,1.795,1.68,1.8,1.9,1.6399999856948853,0.21,1.803
8.376729,8.135,8.64,8.44,8.5,8.819999694824219,9.6,8.57
2.446561,2.45,2.35,2.42,2.6,2.0199999809265137,0.0,2.495
8.40975,8.15,8.58,8.44,8.5,9.149999618530273,8.81,8.755
1.765,1.7550000000000001,1.6600000000000001,1.74,1.7,0.4699999988079071,0.6,1.752
4.5360445,4.550000000000001,4.74,4.54,4.6,4.519999980926514,4.83,4.604
2.182236,2.16,2.02,2.16,2.1,2.25,0.25,2.157
5.785826,5.775,5.97,5.9,5.8,5.730000019073486,7.05,5.937
2.275932,2.325,2.15,2.2600000000000002,2.3,2.259999990463257,0.71,2.292
5.720184,4.8950000000000005,5.9,5.76,5.8,5.519999980926514,6.18,5.971
2.075,2.0900000000000003,1.95,2.06,2.1,1.1100000143051147,0.0,2.09
5.1702525,5.19,5.4,5.26,5.2,5.269999980926514,6.5200000000000005,5.397
2.039967,2.0650000000000004,1.8900000000000001,2.02,2.0,1.8399999141693115,0.0,2.073
6.053487,6.055000000000001,6.18,6.08,6.1,5.779999732971191,6.9,6.325
2.252001,2.2550000000000003,2.1,1.84,2.3,2.190000057220459,0.0,2.258
6.091743,5.4,6.26,6.140000000000001,6.2,5.699999809265137,6.88,6.308
1.8379543,1.885,1.78,1.84,1.9,0.8299999833106995,0.0,1.87
5.1383339,5.16,5.34,5.26,5.2,4.940000057220459,5.3500000000000005,5.465
2.048741,2.0900000000000003,1.96,2.02,2.1,1.8700000047683716,0.0,2.09
6.366566,6.155,6.54,6.42,6.4,6.190000057220459,7.0200000000000005,6.612
2.445317,2.49,2.34,2.4,2.5,2.3899998664855957,0.62,2.444
6.730474,6.025,6.91,6.92,6.8,6.609999656677246,7.0,7.017
1.325,1.3,1.16,1.3,1.3,0.6899999976158142,0.8,1.313
3.7031087,3.665,3.79,3.72,3.7,3.8399999141693115,4.5200000000000005,3.828
2.128447,2.0900000000000003,1.9100000000000001,1.96,2.2,2.129999876022339,0.5,2.123
5.213152,5.205,5.43,5.24,5.2,4.960000038146973,5.39,5.347
1.736259,1.715,1.55,1.6400000000000001,1.8,1.7300000190734863,0.0,1.735
4.711549,4.36,4.86,4.72,4.8,4.46999979019165,5.44,4.925
1.39,1.4,1.36,1.3800000000000001,1.4,0.8299999833106995,0.0,1.381
2.9004262,2.8649999999999998,3.04,3.16,2.9,2.8999998569488525,3.54,2.984
1.928258,1.9,1.73,1.78,1.9,1.8499999046325684,0.5,1.904
4.013098,4.01,4.19,4.0200000000000005,4.1,3.819999933242798,5.18,4.047
2.202095,2.1750000000000003,2.0,2.12,2.2,2.2200000286102295,0.56,2.157
4.123066,4.115,4.32,4.24,4.2,3.9499998092651367,4.5600000000000005,4.216
1.3049999,1.305,1.19,1.28,1.3,0.3799999952316284,0.0,1.28
5.1813546,5.2,5.37,5.2,5.2,5.369999885559082,6.37,5.735
1.997205,1.9749999999999999,1.85,1.98,2.0,1.5699999332427979,0.21,1.972
7.600439,7.16,7.8,7.72,7.7,8.039999961853027,8.81,7.709
2.178198,2.1900000000000004,2.08,2.16,2.1,1.9199999570846558,0.0,2.157
7.162346,6.925000000000001,7.33,7.18,7.2,7.329999923706055,7.640000000000001,7.473
0.9,0.885,0.75,0.84,0.9,0.09999999403953552,0.33,0.892
2.7769152,2.77,3.0,2.8000000000000003,2.8,3.0,3.67,3.035
2.18522,2.1450000000000005,1.96,2.2,2.2,2.2300000190734863,0.5,2.157
4.78481,4.79,4.91,5.0,4.9,4.980000019073486,6.140000000000001,4.891
1.950567,1.935,1.76,1.92,2.0,1.909999966621399,0.0,1.938
4.367341,4.340000000000001,4.53,4.44,4.4,4.519999980926514,4.91,4.688
1.365,1.385,1.27,1.4000000000000001,1.5,0.4399999976158142,0.0,1.415
3.4682991,3.425,3.64,3.48,3.5,3.509999990463257,3.75,3.558
2.367393,2.345,2.2,1.82,2.5,2.3999998569488525,0.5,2.377
5.000861,5.010000000000001,5.18,5.1000000000000005,5.1,4.940000057220459,6.08,5.11
2.311792,2.29,2.15,2.1,2.4,2.3899998664855957,0.58,2.326
4.749206,4.73,4.92,4.88,4.8,4.589999675750732,5.25,4.874
1.47,1.475,1.35,1.46,1.5,0.8399999737739563,0.0,1.482
4.8349688,4.835,5.0200000000000005,4.84,4.9,5.329999923706055,4.99,4.975
2.445905,2.4050000000000002,2.2600000000000002,2.44,2.4,2.25,0.0,2.427
